Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
C,Steven Adams,0,2019_20,4.5,7.6,0.0,0.0,4.5,7.5,1.9,3.2,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9
F,Bam Adebayo,1,2019_20,6.1,11.0,0.0,0.2,6.1,10.8,3.7,5.3,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5
C,LaMarcus Aldridge,2,2019_20,7.4,15.0,1.2,3.0,6.2,12.0,3.0,3.6,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4
C,Kyle Alexander,3,2019_20,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5
G,Nickeil Alexander-Walker,4,2019_20,2.1,5.7,1.0,2.8,1.1,2.8,0.5,0.8,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2
G,Grayson Allen,5,2019_20,3.1,6.6,1.5,3.7,1.6,2.9,1.0,1.2,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4
C,Jarrett Allen,6,2019_20,4.3,6.6,0.0,0.1,4.3,6.6,2.4,3.9,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3
G,Kadeem Allen,7,2019_20,1.9,4.4,0.5,1.6,1.4,2.8,0.7,1.1,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7
F,Al-Farouq Aminu,8,2019_20,1.4,4.8,0.5,2.0,0.9,2.8,1.1,1.6,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5
G,Justin Anderson,9,2019_20,1.0,3.8,0.6,2.9,0.4,0.9,0.2,0.4,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3
F,Kyle Anderson,10,2019_20,2.3,4.9,0.4,1.3,2.0,3.7,0.8,1.2,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7
C,Ryan Anderson,11,2019_20,1.0,3.5,0.5,2.5,0.5,1.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5
F,Giannis Antetokounmpo,12,2019_20,10.9,19.7,1.4,4.7,9.5,15.0,6.3,10.0,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1
F,Thanasis Antetokounmpo,14,2019_20,1.2,2.4,0.0,0.5,1.2,1.9,0.4,0.9,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9
F,Carmelo Anthony,15,2019_20,5.8,13.5,1.5,3.9,4.3,9.6,2.3,2.8,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9
F,OG Anunoby,16,2019_20,4.1,8.2,1.3,3.3,2.9,4.9,1.0,1.5,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4
G,Ryan Arcidiacono,17,2019_20,1.6,3.8,0.9,2.4,0.6,1.4,0.5,0.7,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7
